Hardware config,Submodule Instance,ConvKernelDim (dimensions flattened),Dilation (dimensions flattened),Input Feature Map Channels,Input Feature Map Dim (dimensions flattened),K,Labels,Output Feature Map Dim (dimensions flattened),PE,Padding,SIMD,Stride (dimensions flattened),accDataType (bits),cycles_estimate,inputDataType (bits),numInputVectors,outputDataType (bits),parallel_window,weightDataType (bits),Total LUT,DSP Blocks
t2w4_run26_40_modify_folding_naive_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,2,4,,408,4,,4,0,,169,0
t2w2_run7_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,1,4,,9500,8,,8,0,,257,0
t2w2_run7_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,1,4,,9840,2,,2,0,,237,0
t2w2_run7_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,2,,2,0,,161,0
t2w2_run7_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,2,,2,0,,172,0
t2w8_run5_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,1,4,,9500,8,,8,0,,257,0
t2w8_run5_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,1,4,,9840,8,,8,0,,366,0
t2w8_run5_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,8,,8,0,,192,0
t2w8_run5_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,8,,8,0,,205,0
t2w2_run2_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,1,4,,9500,8,,8,0,,257,0
t2w2_run2_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,1,4,,9840,2,,2,0,,237,0
t2w2_run2_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,2,,2,0,,161,0
t2w2_run2_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,2,,2,0,,172,0
t2w8_run26_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,4,4,,1158,8,,8,1,,141,0
t2w8_run26_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,8,4,,1230,8,,8,0,,339,0
t2w8_run26_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,8,,8,0,,192,0
t2w8_run26_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,8,,8,0,,205,0
t2w4_run24_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,4,4,,1158,8,,8,1,,141,0
t2w4_run24_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,8,4,,1230,4,,4,0,,239,0
t2w4_run24_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,4,,4,0,,170,0
t2w4_run24_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,4,,4,0,,176,0
t2w4_run5_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,1,4,,9500,8,,8,0,,257,0
t2w4_run5_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,1,4,,9840,4,,4,0,,277,0
t2w4_run5_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,4,,4,0,,170,0
t2w4_run5_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,4,,4,0,,176,0
t2w2_run13_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,2,4,,4750,8,,8,0,,242,0
t2w2_run13_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,2,4,,4920,2,,2,0,,209,0
t2w2_run13_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,2,,2,0,,161,0
t2w2_run13_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,2,,2,0,,172,0
t2w2_run26_20_modify_folding_greedy_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,4,4,,1158,8,,8,1,,141,0
t2w2_run26_20_modify_folding_greedy_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,8,4,,1230,2,,2,0,,187,0
t2w2_run26_20_modify_folding_greedy_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,2,,2,0,,161,0
t2w2_run26_20_modify_folding_greedy_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,2,,2,0,,172,0
t2w2_run17_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,4,4,,2375,8,,8,0,,245,0
t2w2_run17_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,4,4,,2460,2,,2,0,,199,0
t2w2_run17_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,2,,2,0,,161,0
t2w2_run17_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,2,,2,0,,172,0
t2w2_run3_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,1,4,,9500,8,,8,0,,257,0
t2w2_run3_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,1,4,,9840,2,,2,0,,237,0
t2w2_run3_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,2,,2,0,,161,0
t2w2_run3_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,2,,2,0,,172,0
t2w2_run5_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,1,4,,9500,8,,8,0,,257,0
t2w2_run5_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,1,4,,9840,2,,2,0,,237,0
t2w2_run5_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,2,,2,0,,161,0
t2w2_run5_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,2,,2,0,,172,0
t2w8_run13_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,2,4,,4750,8,,8,0,,242,0
t2w8_run13_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,2,4,,4920,8,,8,0,,330,0
t2w8_run13_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,8,,8,0,,192,0
t2w8_run13_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,8,,8,0,,205,0
t2w8_run16_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,4,4,,2375,8,,8,0,,245,0
t2w8_run16_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,4,4,,2460,8,,8,0,,320,0
t2w8_run16_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,8,,8,0,,192,0
t2w8_run16_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,8,,8,0,,205,0
t2w2_run20_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,4,4,,2375,8,,8,0,,245,0
t2w2_run20_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,4,4,,2460,2,,2,0,,199,0
t2w2_run20_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,2,,2,0,,161,0
t2w2_run20_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,2,,2,0,,172,0
t2w4_run15_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,2,4,,4750,8,,8,0,,242,0
t2w4_run15_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,4,4,,2460,4,,4,0,,238,0
t2w4_run15_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,4,,4,0,,170,0
t2w4_run15_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,4,,4,0,,176,0
t2w8_run12_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,2,4,,4750,8,,8,0,,242,0
t2w8_run12_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,2,4,,4920,8,,8,0,,330,0
t2w8_run12_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,8,,8,0,,192,0
t2w8_run12_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,8,,8,0,,205,0
t2w2_run1_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,1,4,,9500,8,,8,0,,257,0
t2w2_run1_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,1,4,,9840,2,,2,0,,237,0
t2w2_run1_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,2,,2,0,,161,0
t2w2_run1_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,2,,2,0,,172,0
t2w2_run26_10_modify_folding_greedy_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,4,4,,1158,8,,8,1,,141,0
t2w2_run26_10_modify_folding_greedy_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,8,4,,1230,2,,2,0,,187,0
t2w2_run26_10_modify_folding_greedy_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,2,,2,0,,161,0
t2w2_run26_10_modify_folding_greedy_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,2,,2,0,,172,0
t2w4_run23_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,4,4,,1158,8,,8,1,,141,0
t2w4_run23_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,8,4,,1230,4,,4,0,,239,0
t2w4_run23_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,4,,4,0,,170,0
t2w4_run23_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,4,,4,0,,176,0
t2w4_run1_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,4,4,,1158,8,,8,1,,141,0
t2w4_run1_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,8,4,,1230,4,,4,0,,239,0
t2w4_run1_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,4,,4,0,,170,0
t2w4_run1_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,4,,4,0,,176,0
t2w8_run19_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,4,4,,2375,8,,8,0,,245,0
t2w8_run19_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,4,4,,2460,8,,8,0,,320,0
t2w8_run19_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,8,,8,0,,192,0
t2w8_run19_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,8,,8,0,,205,0
t2w2_run9_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,1,4,,9500,8,,8,0,,257,0
t2w2_run9_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,2,4,,4920,2,,2,0,,209,0
t2w2_run9_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,2,,2,0,,161,0
t2w2_run9_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,2,,2,0,,172,0
t2w8_run14_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,2,4,,4750,8,,8,0,,242,0
t2w8_run14_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,2,4,,4920,8,,8,0,,330,0
t2w8_run14_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,8,,8,0,,192,0
t2w8_run14_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,8,,8,0,,205,0
t2w2_run6_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,1,4,,9500,8,,8,0,,257,0
t2w2_run6_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,1,4,,9840,2,,2,0,,237,0
t2w2_run6_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,2,,2,0,,161,0
t2w2_run6_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,2,,2,0,,172,0
t2w4_run20_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,4,4,,2375,8,,8,0,,245,0
t2w4_run20_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,4,4,,2460,4,,4,0,,238,0
t2w4_run20_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,4,,4,0,,170,0
t2w4_run20_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,4,,4,0,,176,0
t2w4_run26_40_modify_folding_greedy_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,4,4,,1158,8,,8,1,,141,0
t2w4_run26_40_modify_folding_greedy_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,8,4,,1230,4,,4,0,,239,0
t2w4_run26_40_modify_folding_greedy_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,4,,4,0,,170,0
t2w4_run26_40_modify_folding_greedy_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,4,,4,0,,176,0
t2w8_run26_40_modify_folding_naive_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,4,4,,1158,8,,8,1,,141,0
t2w8_run26_40_modify_folding_naive_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,16,4,,615,8,,8,0,,301,0
t2w8_run26_40_modify_folding_naive_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,2,4,,668,8,,8,0,,190,0
t2w8_run26_40_modify_folding_naive_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,2,4,,408,8,,8,0,,193,0
t2w2_run26_40_modify_folding_greedy_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,4,4,,1158,8,,8,1,,141,0
t2w2_run26_40_modify_folding_greedy_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,8,4,,1230,2,,2,0,,187,0
t2w2_run26_40_modify_folding_greedy_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,2,,2,0,,161,0
t2w2_run26_40_modify_folding_greedy_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,2,,2,0,,172,0
t2w8_run26_10_modify_folding_naive_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,4,4,,1158,8,,8,1,,141,0
t2w8_run26_10_modify_folding_naive_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,16,4,,615,8,,8,0,,301,0
t2w8_run26_10_modify_folding_naive_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,2,4,,668,8,,8,0,,190,0
t2w8_run26_10_modify_folding_naive_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,2,4,,408,8,,8,0,,193,0
t2w2_run8_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,1,4,,9500,8,,8,0,,257,0
t2w2_run8_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,1,4,,9840,2,,2,0,,237,0
t2w2_run8_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,2,,2,0,,161,0
t2w2_run8_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,2,,2,0,,172,0
t2w4_run0,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,1,4,,9500,8,,8,0,,257,0
t2w4_run0,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,1,4,,9840,4,,4,0,,277,0
t2w4_run0,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,4,,4,0,,170,0
t2w4_run0,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,4,,4,0,,176,0
t2w4_run26_20_modify_folding_naive_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,4,4,,1158,8,,8,1,,141,0
t2w4_run26_20_modify_folding_naive_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,16,4,,615,4,,4,0,,215,0
t2w4_run26_20_modify_folding_naive_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,2,4,,668,4,,4,0,,166,0
t2w4_run26_20_modify_folding_naive_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,2,4,,408,4,,4,0,,169,0
t2w4_run16_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,4,4,,2375,8,,8,0,,245,0
t2w4_run16_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,4,4,,2460,4,,4,0,,238,0
t2w4_run16_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,4,,4,0,,170,0
t2w4_run16_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,4,,4,0,,176,0
t2w4_run18_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,4,4,,2375,8,,8,0,,245,0
t2w4_run18_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,4,4,,2460,4,,4,0,,238,0
t2w4_run18_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,4,,4,0,,170,0
t2w4_run18_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,4,,4,0,,176,0
t2w4_run10_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,2,4,,4750,8,,8,0,,242,0
t2w4_run10_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,2,4,,4920,4,,4,0,,254,0
t2w4_run10_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,4,,4,0,,170,0
t2w4_run10_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,4,,4,0,,176,0
t2w2_run26_10_modify_folding_naive_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,4,4,,1158,8,,8,1,,141,0
t2w2_run26_10_modify_folding_naive_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,16,4,,615,2,,2,0,,173,0
t2w2_run26_10_modify_folding_naive_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,2,4,,668,2,,2,0,,152,0
t2w2_run26_10_modify_folding_naive_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,2,4,,408,2,,2,0,,154,0
t2w8_run22_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,4,4,,2375,8,,8,0,,245,0
t2w8_run22_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,8,4,,1230,8,,8,0,,339,0
t2w8_run22_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,8,,8,0,,192,0
t2w8_run22_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,8,,8,0,,205,0
t2w2_run8_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,1,4,,9500,8,,8,0,,257,0
t2w2_run8_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,1,4,,9840,2,,2,0,,237,0
t2w2_run8_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,2,,2,0,,161,0
t2w2_run8_10_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,2,,2,0,,172,0
t2w8_run21_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,4,4,,2375,8,,8,0,,245,0
t2w8_run21_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,4,4,,2460,8,,8,0,,320,0
t2w8_run21_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,8,,8,0,,192,0
t2w8_run21_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,8,,8,0,,205,0
t2w8_run20_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,4,4,,2375,8,,8,0,,245,0
t2w8_run20_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,4,4,,2460,8,,8,0,,320,0
t2w8_run20_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,8,,8,0,,192,0
t2w8_run20_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,8,,8,0,,205,0
t2w2_run18_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,4,4,,2375,8,,8,0,,245,0
t2w2_run18_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,4,4,,2460,2,,2,0,,199,0
t2w2_run18_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,2,,2,0,,161,0
t2w2_run18_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,2,,2,0,,172,0
t2w4_run8_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,1,4,,9500,8,,8,0,,257,0
t2w4_run8_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,1,4,,9840,4,,4,0,,277,0
t2w4_run8_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,4,,4,0,,170,0
t2w4_run8_20_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,4,,4,0,,176,0
t2w4_run13_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,2,4,,4750,8,,8,0,,242,0
t2w4_run13_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,2,4,,4920,4,,4,0,,254,0
t2w4_run13_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,4,,4,0,,170,0
t2w4_run13_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,4,,4,0,,176,0
t2w2_run19_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,4,4,,2375,8,,8,0,,245,0
t2w2_run19_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,4,4,,2460,2,,2,0,,199,0
t2w2_run19_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,2,,2,0,,161,0
t2w2_run19_80_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,2,,2,0,,172,0
t2w4_run14_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,2,4,,4750,8,,8,0,,242,0
t2w4_run14_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,2,4,,4920,4,,4,0,,254,0
t2w4_run14_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,4,,4,0,,170,0
t2w4_run14_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,4,,4,0,,176,0
t2w8_run2_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,1,4,,9500,8,,8,0,,257,0
t2w8_run2_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,1,4,,9840,8,,8,0,,366,0
t2w8_run2_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,8,,8,0,,192,0
t2w8_run2_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,8,,8,0,,205,0
